GO:0000001	mitochondrion inheritance
GO:0000003	reproduction
GO:0000010	trans-hexaprenyltranstransferase activity
GO:0000015	phosphopyruvate hydratase complex
GO:0000016	lactase activity
GO:0000019	regulation of mitotic recombination
GO:0000022	mitotic spindle elongation
GO:0000023	maltose metabolic process
GO:0000024	maltose biosynthetic process
GO:0000025	maltose catabolic process
GO:0000032	cell wall mannoprotein biosynthetic process
GO:0000034	adenine deaminase activity
GO:0000035	acyl binding
GO:0000038	very-long-chain fatty acid metabolic process
GO:0000040	low-affinity iron ion transport
GO:0000041	transition metal ion transport
GO:0000042	protein targeting to Golgi
GO:0000044	ascorbate stabilization
GO:0000045	autophagic vacuole formation
GO:0000046	autophagic vacuole fusion
GO:0000047	Rieske iron-sulfur protein
GO:0000048	peptidyltransferase activity
GO:0000050	urea cycle
GO:0000051	urea cycle intermediate metabolic process
GO:0000052	citrulline metabolic process
GO:0000053	argininosuccinate metabolic process
GO:0000054	ribosome export from nucleus
GO:0000055	ribosomal large subunit export from nucleus
GO:0000056	ribosomal small subunit export from nucleus
GO:0000059	protein import into nucleus, docking
GO:0000060	protein import into nucleus, translocation
GO:0000061	protein import into nucleus, substrate release
GO:0000062	acyl-CoA binding
GO:0000064	L-ornithine transmembrane transporter activity
GO:0000070	mitotic sister chromatid segregation
GO:0000072	M phase specific microtubule process
GO:0000073	spindle pole body separation
GO:0000077	DNA damage checkpoint
GO:0000079	regulation of cyclin-dependent protein kinase activity
GO:0000087	M phase of mitotic cell cycle
GO:0000095	S-adenosylmethionine transmembrane transporter activity
GO:0000096	sulfur amino acid metabolic process
GO:0000097	sulfur amino acid biosynthetic process
GO:0000098	sulfur amino acid catabolic process
GO:0000099	sulfur amino acid transmembrane transporter activity
GO:0000100	S-methylmethionine transmembrane transporter activity
GO:0000101	sulfur amino acid transport
GO:0000102	L-methionine secondary active transmembrane transporter activity
GO:0000103	sulfate assimilation
GO:0000104	succinate dehydrogenase activity
GO:0000105	histidine biosynthetic process
GO:0000107	imidazoleglycerol-phosphate synthase activity
GO:0000110	nucleotide-excision repair factor 1 complex
GO:0000111	nucleotide-excision repair factor 2 complex
GO:0000112	nucleotide-excision repair factor 3 complex
GO:0000113	nucleotide-excision repair factor 4 complex
GO:0000115	S-phase-specific transcription in mitotic cell cycle
GO:0000118	histone deacetylase complex
GO:0000119	mediator complex
GO:0000121	glycerol-1-phosphatase activity
GO:0000122	negative regulation of transcription from RNA polymerase II promoter
GO:0000123	histone acetyltransferase complex
GO:0000124	SAGA complex
GO:0000132	establishment of mitotic spindle orientation
GO:0000140	acylglycerone-phosphate reductase activity
GO:0000142	cellular bud neck contractile ring
GO:0000144	cellular bud neck septin ring
GO:0000146	microfilament motor activity
GO:0000149	SNARE binding
GO:0000150	recombinase activity
GO:0000154	rRNA modification
GO:0000155	two-component sensor activity
GO:0000160	two-component signal transduction system (phosphorelay)
GO:0000161	MAPKKK cascade during osmolarity sensing
GO:0000162	tryptophan biosynthetic process
GO:0000165	MAPKKK cascade
GO:0000167	activation of MAPKKK activity during osmolarity sensing
GO:0000168	activation of MAPKK activity during osmolarity sensing
GO:0000169	activation of MAPK activity during osmolarity sensing
GO:0000171	ribonuclease MRP activity
GO:0000172	ribonuclease MRP complex
GO:0000173	inactivation of MAPK activity during osmolarity sensing
GO:0000175	3'-5'-exoribonuclease activity
GO:0000182	rDNA binding
GO:0000183	chromatin silencing at rDNA
GO:0000184	mRNA catabolic process, nonsense-mediated decay
GO:0000185	activation of MAPKKK activity
GO:0000186	activation of MAPKK activity
GO:0000187	activation of MAPK activity
GO:0000188	inactivation of MAPK activity
GO:0000196	MAPKKK cascade during cell wall biogenesis
GO:0000197	activation of MAPKKK activity during cell wall biogenesis
GO:0000198	activation of MAPKK activity during cell wall biogenesis
GO:0000199	activation of MAPK activity during cell wall biogenesis
GO:0000200	inactivation of MAPK activity during cell wall biogenesis
GO:0000201	nuclear translocation of MAPK during cell wall biogenesis
GO:0000208	nuclear translocation of MAPK during osmolarity sensing
GO:0000209	protein polyubiquitination
GO:0000210	NAD+ diphosphatase activity
GO:0000212	meiotic spindle organization and biogenesis
GO:0000213	tRNA-intron endonuclease activity
GO:0000215	tRNA 2'-phosphotransferase activity
GO:0000219	vacuolar hydrogen-transporting ATPase
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain
GO:0000222	plasma membrane proton-transporting V-type ATPase, V0 domain
GO:0000223	plasma membrane proton-transporting V-type ATPase, V1 domain
GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity
GO:0000227	oxaloacetate secondary active transmembrane transporter activity
GO:0000228	nuclear chromosome
GO:0000229	cytoplasmic chromosome
GO:0000234	phosphoethanolamine N-methyltransferase activity
GO:0000243	commitment complex
GO:0000244	assembly of spliceosomal tri-snRNP
GO:0000246	delta24(24-1) sterol reductase activity
GO:0000247	C-8 sterol isomerase activity
GO:0000248	C-5 sterol desaturase activity
GO:0000250	lanosterol synthase activity
GO:0000252	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity
GO:0000253	3-keto sterol reductase activity
GO:0000254	C-4 methylsterol oxidase activity
GO:0000255	allantoin metabolic process
GO:0000256	allantoin catabolic process
GO:0000257	nitrilase activity
GO:0000262	mitochondrial chromosome
GO:0000266	mitochondrial fission
GO:0000268	peroxisome targeting sequence binding
GO:0000270	peptidoglycan metabolic process
GO:0000271	polysaccharide biosynthetic process
GO:0000272	polysaccharide catabolic process
GO:0000273	lipoic acid metabolic process
GO:0000274	mitochondrial proton-transporting ATP synthase, stator stalk
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)
GO:0000277	[cytochrome c]-lysine N-methyltransferase activity
GO:0000279	M phase
GO:0000280	nuclear division
GO:0000282	cellular bud site selection
GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity
GO:0000286	alanine dehydrogenase activity
GO:0000287	magnesium ion binding
GO:0000288	mRNA catabolic process, deadenylation-dependent decay
GO:0000289	poly(A) tail shortening
GO:0000290	deadenylation-dependent decapping
GO:0000291	mRNA catabolic process, exonucleolytic
GO:0000292	RNA fragment catabolic process
GO:0000293	ferric-chelate reductase activity
GO:0000294	mRNA catabolic process, endonucleolytic cleavage-dependent decay
GO:0000298	endopolyphosphatase activity
GO:0000301	retrograde transport, vesicle recycling within Golgi
GO:0000302	response to reactive oxygen species
GO:0000307	cyclin-dependent protein kinase holoenzyme complex
GO:0000308	cytoplasmic cyclin-dependent protein kinase holoenzyme complex
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity
GO:0000310	xanthine phosphoribosyltransferase activity
GO:0000316	sulfite transport
GO:0000317	methionine-S-oxide reductase activity
GO:0000318	protein-methionine-R-oxide reductase activity
GO:0000319	sulfite transmembrane transporter activity
GO:0000321	re-entry into mitotic cell cycle after pheromone arrest
GO:0000324	vacuole, cell cycle-correlated morphology
GO:0000325	vacuole, cell cycle independent morphology
GO:0000328	lumen of vacuole with cell cycle-correlated morphology
GO:0000329	membrane of vacuole with cell cycle-correlated morphology
GO:0000330	lumen of vacuole with cell cycle-independent morphology
GO:0000332	template for synthesis of G-rich strand of telomere DNA activity
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity
GO:0000335	negative regulation of transposition, DNA-mediated
GO:0000336	positive regulation of transposition, DNA-mediated
GO:0000337	regulation of transposition, DNA-mediated
GO:0000339	RNA cap binding
GO:0000340	RNA 7-methylguanosine cap binding
GO:0000341	RNA trimethylguanosine cap binding
GO:0000343	plastid-encoded plastid RNA polymerase complex A
GO:0000344	plastid-encoded plastid RNA polymerase complex B
GO:0000345	cytosolic DNA-directed RNA polymerase complex
GO:0000346	transcription export complex
GO:0000349	generation of catalytic spliceosome for first transesterification step
GO:0000350	generation of catalytic spliceosome for second transesterification step
GO:0000351	assembly of spliceosomal tri-snRNP U4/U6.U5
GO:0000354	cis assembly of pre-catalytic spliceosome
GO:0000355	assembly of spliceosomal tri-snRNP U4atac/U6atac.U5
GO:0000356	U2-type catalytic spliceosome formation for first transesterification step
GO:0000358	formation of catalytic U2-type spliceosome for second transesterification step
GO:0000360	cis assembly of U2-type pre-catalytic spliceosome
GO:0000362	first U2-type spliceosomal transesterification activity
GO:0000363	first U12-type spliceosomal transesterification activity
GO:0000364	second U2-type spliceosomal transesterification activity
GO:0000367	second U12-type spliceosomal transesterification activity
GO:0000368	U2-type nuclear mRNA 5'-splice site recognition
GO:0000369	U12-type nuclear mRNA 5'-splice site recognition
GO:0000370	U2-type nuclear mRNA branch site recognition
GO:0000372	Group I intron splicing
GO:0000373	Group II intron splicing
GO:0000374	Group III intron splicing
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
GO:0000380	alternative nuclear mRNA splicing, via spliceosome
GO:0000381	regulation of alternative nuclear mRNA splicing, via spliceosome
GO:0000384	first spliceosomal transesterification activity
GO:0000386	second spliceosomal transesterification activity
GO:0000388	spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000390	spliceosome disassembly
GO:0000391	U2-dependent spliceosome disassembly
GO:0000392	U12-dependent spliceosome disassembly
GO:0000393	spliceosomal conformational changes to generate catalytic conformation
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
GO:0000395	nuclear mRNA 5'-splice site recognition
GO:0000396	U2-type spliceosome conformational change to release U4 and U1
GO:0000398	nuclear mRNA splicing, via spliceosome
GO:0000400	four-way junction DNA binding
GO:0000401	open form four-way junction DNA binding
GO:0000402	crossed form four-way junction DNA binding
GO:0000403	Y-form DNA binding
GO:0000407	pre-autophagosomal structure
GO:0000408	EKC/KEOPS protein complex
GO:0000410	negative regulation of transcription by galactose
GO:0000411	positive regulation of transcription by galactose
GO:0000412	histone peptidyl-prolyl isomerization
GO:0000413	protein peptidyl-prolyl isomerization
GO:0000415	negative regulation of histone H3-K36 methylation
GO:0000416	positive regulation of histone H3-K36 methylation
GO:0000421	autophagic vacuole membrane
GO:0000422	mitochondrion degradation
